Used it for,Owned for,Model Name,Visual Appeal,Reliability,Extra Features,Comfort,Maintenance cost,Value for Money
Commuting,Never owned,TVS iQube,3.0,4.0,,4.0,,1.0
Leisure,> 6 months,TVS iQube,3.0,1.0,,3.0,,3.0
Commuting,<= 6 months,TVS iQube,4.0,4.0,,5.0,,2.0
Commuting,> 6 months,TVS iQube,1.0,1.0,,1.0,,1.0
Commuting,> 6 months,TVS iQube,3.0,4.0,,3.0,,2.0
Commuting,> 6 months,TVS iQube,5.0,1.0,,5.0,,2.0
Commuting,> 6 months,TVS iQube,3.0,2.0,,4.0,,3.0
Commuting,<= 6 months,TVS iQube,3.0,1.0,,2.0,,1.0
Commuting,<= 6 months,TVS iQube,3.0,3.0,,4.0,,3.0
Commuting,<= 6 months,TVS iQube,5.0,3.0,,4.0,,3.0
Commuting,> 6 months,TVS iQube,5.0,5.0,,5.0,,5.0
Commuting,Never owned,TVS iQube,4.0,5.0,,5.0,,5.0
Commuting,> 6 months,TVS iQube,5.0,5.0,,5.0,,4.0
Commuting,Never owned,TVS iQube,4.0,4.0,,4.0,,2.0
Commuting,<= 6 months,TVS iQube,2.0,1.0,,,,2.0
Commuting,Never owned,TVS iQube,4.0,4.0,,3.0,,5.0
Commuting,<= 6 months,TVS iQube,4.0,2.0,,4.0,,1.0
Leisure,Never owned,Revolt RV 400,3.0,1.0,4.0,,,
Leisure,> 6 months,Revolt RV 400,5.0,5.0,,5.0,,
Leisure,<= 6 months,Revolt RV 400,4.0,4.0,,4.0,,
Leisure,Never owned,Revolt RV 400,5.0,5.0,,5.0,,
Commuting,> 6 months,Revolt RV 400,2.0,1.0,,3.0,,
Leisure,> 6 months,Revolt RV 400,1.0,5.0,,3.0,,
Leisure,Never owned,Revolt RV 400,4.0,4.0,4.0,,5.0,
Leisure,Never owned,Revolt RV 400,5.0,5.0,5.0,,5.0,
Commuting,<= 6 months,Revolt RV 400,4.0,5.0,4.0,,4.0,
Leisure,Never owned,Revolt RV 400,1.0,1.0,1.0,,1.0,
Leisure,Never owned,Revolt RV 400,5.0,5.0,5.0,,5.0,
Leisure,<= 6 months,Revolt RV 400,5.0,5.0,5.0,,4.0,
Commuting,Never owned,Revolt RV 400,5.0,5.0,5.0,,4.0,
Leisure,<= 6 months,Revolt RV 400,5.0,4.0,,4.0,,5.0
Commuting,> 6 months,Revolt RV 400,5.0,5.0,5.0,,4.0,
Leisure,Never owned,Revolt RV 400,5.0,5.0,,,,
Commuting,> 6 months,Revolt RV 400,1.0,1.0,1.0,,1.0,
Commuting,<= 6 months,Revolt RV 400,4.0,3.0,,4.0,,
Commuting,Never owned,Revolt RV 400,5.0,3.0,,5.0,,
Commuting,> 6 months,Revolt RV 400,5.0,4.0,,4.0,,
Commuting,<= 6 months,Revolt RV 400,5.0,3.0,,4.0,,
Commuting,Never owned,Revolt RV 400,5.0,4.0,,4.0,,
Commuting,Never owned,Revolt RV 400,3.0,3.0,,3.0,,
Leisure,Never owned,Revolt RV 400,4.0,4.0,,5.0,,
Leisure,<= 6 months,Revolt RV 400,4.0,4.0,,4.0,,
Leisure,<= 6 months,Revolt RV 400,4.0,4.0,4.0,,4.0,
Commuting,> 6 months,Revolt RV 400,5.0,4.0,,5.0,,
Leisure,<= 6 months,Revolt RV 400,5.0,5.0,,5.0,,
Commuting,Never owned,Revolt RV 400,3.0,3.0,,4.0,,
Commuting,Never owned,Revolt RV 400,5.0,5.0,,5.0,,
Commuting,Never owned,Revolt RV 400,4.0,4.0,,4.0,,
Commuting,<= 6 months,Revolt RV 400,4.0,4.0,,4.0,,
Leisure,Never owned,Revolt RV 400,5.0,4.0,,4.0,,
Commuting,> 6 months,Revolt RV 400,3.0,3.0,,3.0,,
Commuting,Never owned,Revolt RV 400,2.0,2.0,,1.0,,
Commuting,Never owned,Revolt RV 400,5.0,5.0,,5.0,,
Leisure,Never owned,Revolt RV 400,5.0,5.0,,5.0,,
Commuting,Never owned,Revolt RV 400,5.0,4.0,,5.0,,
Commuting,<= 6 months,Revolt RV 400,4.0,4.0,,4.0,,
Commuting,> 6 months,Revolt RV 400,4.0,3.0,3.0,,3.0,
Leisure,Never owned,Revolt RV 400,5.0,5.0,,4.0,,
Commuting,> 6 months,Revolt RV 400,2.0,1.0,,2.0,,3.0
Leisure,Never owned,Revolt RV 400,4.0,5.0,,4.0,,
Commuting,> 6 months,Revolt RV 400,4.0,3.0,,3.0,,3.0
Commuting,Never owned,Bajaj Chetak,5.0,5.0,,5.0,,5.0
Leisure,<= 6 months,Bajaj Chetak,5.0,5.0,,5.0,,5.0
Leisure,<= 6 months,Bajaj Chetak,3.0,4.0,,4.0,,4.0
Leisure,Never owned,Bajaj Chetak,5.0,5.0,,5.0,,
Commuting,<= 6 months,Bajaj Chetak,5.0,5.0,,5.0,,5.0
Commuting,> 6 months,Bajaj Chetak,5.0,5.0,4.0,,4.0,
Commuting,<= 6 months,Bajaj Chetak,5.0,5.0,,5.0,,5.0
Leisure,Never owned,Bajaj Chetak,5.0,5.0,5.0,,5.0,
Commuting,> 6 months,Bajaj Chetak,5.0,5.0,,5.0,,
Leisure,<= 6 months,Bajaj Chetak,3.0,5.0,,5.0,,
Commuting,> 6 months,Bajaj Chetak,4.0,1.0,,1.0,,
Commuting,<= 6 months,Bajaj Chetak,5.0,1.0,,2.0,,
Commuting,Never owned,Bajaj Chetak,4.0,5.0,,4.0,,
Commuting,Never owned,OLA S1 Pro,4.0,5.0,,5.0,,
Commuting,<= 6 months,OLA S1 Pro,2.0,1.0,,3.0,,
Commuting,<= 6 months,OLA S1 Pro,5.0,4.0,,4.0,,
Commuting,<= 6 months,OLA S1 Pro,1.0,1.0,,1.0,,
Leisure,<= 6 months,OLA S1 Pro,5.0,4.0,,4.0,,
Commuting,<= 6 months,OLA S1 Pro,4.0,2.0,,4.0,,
Leisure,> 6 months,OLA S1 Pro,5.0,5.0,,5.0,,
Commuting,> 6 months,OLA S1 Pro,5.0,5.0,,5.0,,
Commuting,<= 6 months,OLA S1 Pro,5.0,5.0,,5.0,,
Commuting,<= 6 months,OLA S1 Pro,1.0,1.0,,1.0,,
Commuting,> 6 months,OLA S1 Pro,5.0,5.0,,4.0,,
Commuting,<= 6 months,OLA S1 Pro,5.0,4.0,,4.0,,
Commuting,<= 6 months,OLA S1 Pro,5.0,4.0,,5.0,,
Commuting,<= 6 months,OLA S1 Pro,4.0,4.0,,5.0,,
Commuting,Never owned,OLA S1 Pro,4.0,5.0,,4.0,,
Leisure,Never owned,OLA S1 Pro,4.0,5.0,,5.0,,
Commuting,<= 6 months,OLA S1 Pro,3.0,1.0,,1.0,,
Commuting,Never owned,OLA S1 Pro,5.0,3.0,,2.0,,
Leisure,<= 6 months,OLA S1 Pro,5.0,5.0,,5.0,,
Commuting,<= 6 months,OLA S1 Pro,4.0,4.0,,5.0,,
Commuting,<= 6 months,OLA S1 Pro,4.0,1.0,,4.0,,
Commuting,> 6 months,OLA S1 Pro,4.0,1.0,,4.0,,
Leisure,<= 6 months,OLA S1 Pro,5.0,4.0,,5.0,,
Commuting,<= 6 months,OLA S1 Pro,5.0,3.0,,4.0,,
Leisure,<= 6 months,OLA S1 Pro,3.0,2.0,,3.0,,
Leisure,Never owned,Ather 450X,4.0,3.0,,2.0,,
Leisure,<= 6 months,Ather 450X,5.0,5.0,,5.0,,
Commuting,> 6 months,Ather 450X,5.0,5.0,,5.0,,
Commuting,> 6 months,Ather 450X,3.0,2.0,,1.0,,
Commuting,<= 6 months,Ather 450X,5.0,5.0,,5.0,,
Commuting,<= 6 months,Ather 450X,5.0,5.0,,5.0,,
Commuting,<= 6 months,Ather 450X,4.0,5.0,,5.0,,
Commuting,> 6 months,Ather 450X,5.0,5.0,,5.0,,
Commuting,<= 6 months,Ather 450X,5.0,5.0,,5.0,,
Leisure,> 6 months,Ather 450X,5.0,5.0,,5.0,,
Commuting,> 6 months,Ather 450X,3.0,2.0,1.0,,2.0,
Commuting,<= 6 months,Ather 450X,5.0,5.0,,5.0,,
Commuting,> 6 months,Ather 450X,5.0,4.0,,3.0,,
Leisure,Never owned,Ather 450X,4.0,5.0,,5.0,,
Leisure,<= 6 months,Ather 450X,5.0,5.0,,5.0,,
Commuting,> 6 months,Ather 450X,5.0,4.0,,5.0,,
Commuting,<= 6 months,Ather 450X,1.0,1.0,,1.0,,
Commuting,<= 6 months,Ather 450X,2.0,2.0,,4.0,,
Commuting,<= 6 months,Ather 450X,1.0,1.0,,1.0,,
Commuting,<= 6 months,Ather 450X,2.0,1.0,,1.0,,
Commuting,Never owned,Ather 450X,4.0,5.0,,4.0,,
Commuting,<= 6 months,Ather 450X,4.0,3.0,,2.0,,
Commuting,> 6 months,Ather 450X,5.0,5.0,5.0,,5.0,
Commuting,<= 6 months,Ather 450X,4.0,4.0,,4.0,,
Commuting,> 6 months,Ather 450X,5.0,5.0,,5.0,,
Commuting,> 6 months,Ather 450X,5.0,5.0,,4.0,,
Commuting,> 6 months,Hero Electric Optima,1.0,1.0,,1.0,,1.0
Commuting,> 6 months,Hero Electric Optima,1.0,1.0,,2.0,,1.0
Commuting,> 6 months,Hero Electric Optima,1.0,1.0,,1.0,,1.0
Commuting,<= 6 months,Hero Electric Optima,4.0,2.0,,4.0,,3.0
Commuting,<= 6 months,Hero Electric Optima,5.0,4.0,,5.0,,4.0
Commuting,<= 6 months,Hero Electric Optima,4.0,3.0,,3.0,,4.0
Leisure,Never owned,Hero Electric Optima,5.0,5.0,,5.0,,5.0
Commuting,<= 6 months,Hero Electric Optima,1.0,2.0,,2.0,,2.0
Commuting,> 6 months,Hero Electric Optima,5.0,3.0,,4.0,,4.0
Commuting,> 6 months,Hero Electric Optima,3.0,1.0,,3.0,,1.0
Commuting,> 6 months,Hero Electric Optima,5.0,5.0,,4.0,,4.0
Commuting,> 6 months,Hero Electric Optima,3.0,1.0,,3.0,,2.0
Leisure,<= 6 months,Hero Electric Optima,3.0,1.0,,2.0,,2.0
Leisure,> 6 months,Hero Electric Optima,5.0,5.0,,5.0,,5.0
Commuting,<= 6 months,Hero Electric Optima,5.0,3.0,,4.0,,4.0
Commuting,> 6 months,Hero Electric Optima,3.0,1.0,,3.0,,1.0
Commuting,> 6 months,Hero Electric Optima,1.0,1.0,,1.0,,1.0
Commuting,Never owned,Hero Electric Optima,4.0,4.0,,5.0,,5.0
Commuting,<= 6 months,Hero Electric Optima,1.0,1.0,,1.0,,1.0
Commuting,> 6 months,Hero Electric Optima,2.0,1.0,,2.0,,2.0
Commuting,<= 6 months,Hero Electric Optima,3.0,2.0,,3.0,,3.0
Commuting,> 6 months,Hero Electric Optima,2.0,1.0,,1.0,,2.0
Commuting,Never owned,Hero Electric Optima,5.0,5.0,,5.0,,5.0
Leisure,> 6 months,Hero Electric Optima,1.0,1.0,,1.0,,1.0
Commuting,> 6 months,Hero Electric Optima,5.0,4.0,,5.0,,4.0
Leisure,> 6 months,Hero Electric Optima,1.0,1.0,,1.0,,2.0
Commuting,<= 6 months,Hero Electric Optima,1.0,1.0,,1.0,,3.0
Commuting,<= 6 months,Hero Electric Optima,4.0,4.0,,4.0,,4.0
Commuting,> 6 months,Hero Electric Optima,4.0,2.0,,3.0,,3.0
Commuting,<= 6 months,Hero Electric Optima,1.0,1.0,,1.0,,1.0
Leisure,Never owned,Hero Electric Optima,1.0,1.0,,1.0,,3.0
Commuting,> 6 months,Hero Electric Optima,5.0,5.0,,5.0,,4.0
Commuting,> 6 months,Hero Electric Optima,5.0,5.0,,5.0,,4.0
Commuting,<= 6 months,Hero Electric Optima,5.0,4.0,,3.0,,3.0
Commuting,> 6 months,Hero Electric Optima,4.0,1.0,,3.0,,3.0
Leisure,> 6 months,Hero Electric Optima,5.0,5.0,,4.0,,4.0
Commuting,<= 6 months,Hero Electric Optima,5.0,5.0,,4.0,,4.0
Leisure,> 6 months,Hero Electric Optima,5.0,5.0,,5.0,,5.0
Commuting,<= 6 months,Hero Electric Optima,5.0,5.0,,5.0,,4.0
Commuting,> 6 months,Hero Electric Optima,5.0,5.0,,5.0,,5.0
Leisure,<= 6 months,Hero Electric Optima,5.0,5.0,,5.0,,4.0
Commuting,<= 6 months,Hero Electric Optima,4.0,1.0,,3.0,,1.0
Leisure,> 6 months,Hero Electric Optima,5.0,5.0,,5.0,,5.0
Leisure,> 6 months,Hero Electric Optima,4.0,5.0,,4.0,,4.0
Commuting,> 6 months,Hero Electric Optima,1.0,1.0,,1.0,,1.0
Commuting,<= 6 months,Hero Electric Optima,1.0,1.0,,,,2.0
Commuting,> 6 months,Hero Electric Optima,4.0,4.0,,4.0,,4.0
Commuting,> 6 months,Hero Electric Optima,3.0,3.0,,3.0,,4.0
Commuting,<= 6 months,Hero Electric Optima,5.0,5.0,,5.0,,5.0
Commuting,<= 6 months,Hero Electric Optima,4.0,3.0,,4.0,,4.0
Commuting,<= 6 months,Hero Electric Optima,4.0,4.0,,4.0,,4.0
Commuting,> 6 months,Hero Electric Optima,4.0,3.0,,4.0,,4.0
Commuting,> 6 months,Hero Electric Optima,5.0,4.0,,4.0,,4.0
Commuting,> 6 months,Hero Electric Optima,4.0,4.0,,4.0,,4.0
Commuting,<= 6 months,Hero Electric Optima,3.0,3.0,,4.0,,4.0
Leisure,<= 6 months,Hero Electric Optima,5.0,5.0,,5.0,,5.0
Leisure,> 6 months,Hero Electric Optima,4.0,4.0,,4.0,,5.0
Leisure,> 6 months,Hero Electric Optima,4.0,4.0,,3.0,,4.0
Commuting,> 6 months,Hero Electric Optima,5.0,5.0,,4.0,,4.0
Commuting,<= 6 months,Hero Electric Optima,5.0,4.0,,4.0,,4.0
Commuting,> 6 months,Hero Electric Optima,5.0,5.0,,5.0,,4.0
Commuting,Never owned,Hero Electric Optima,5.0,5.0,,5.0,,5.0
Commuting,<= 6 months,Hero Electric Optima,5.0,3.0,,4.0,,4.0
Commuting,> 6 months,Hero Electric Optima,3.0,1.0,,4.0,,1.0
Commuting,Never owned,Hero Electric Optima,4.0,5.0,,5.0,,5.0
Leisure,Never owned,Hero Electric Optima,5.0,4.0,,5.0,,5.0
Commuting,> 6 months,Hero Electric Optima,5.0,3.0,,3.0,,4.0
Leisure,> 6 months,Hero Electric Optima,5.0,5.0,,5.0,,5.0
Leisure,<= 6 months,Hero Electric Optima,5.0,5.0,,5.0,,5.0
Commuting,<= 6 months,Hero Electric Optima,4.0,4.0,,5.0,,5.0
Commuting,> 6 months,Hero Electric Optima,4.0,1.0,,1.0,,2.0
Commuting,> 6 months,Hero Electric Optima,3.0,1.0,,2.0,,1.0
Commuting,> 6 months,Hero Electric Optima,3.0,2.0,,4.0,,3.0
Leisure,<= 6 months,Hero Electric Optima,3.0,3.0,,2.0,,3.0
Commuting,<= 6 months,Hero Electric Optima,3.0,3.0,,2.0,,3.0
Commuting,Never owned,Tork Kratos,4.0,3.0,,4.0,,
Leisure,Never owned,Tork Kratos,5.0,5.0,,4.0,,
Leisure,Never owned,Tork Kratos,5.0,5.0,,5.0,,
Commuting,Never owned,Tork Kratos,4.0,4.0,,3.0,,
Leisure,<= 6 months,Tork Kratos,4.0,4.0,,5.0,,
Leisure,Never owned,Tork Kratos,4.0,5.0,,5.0,,
Commuting,<= 6 months,Tork Kratos,5.0,5.0,,5.0,,
Leisure,Never owned,Tork Kratos,4.0,3.0,,4.0,,
Commuting,Never owned,Tork Kratos,4.0,4.0,,4.0,,
Commuting,Never owned,Tork Kratos,3.0,4.0,,4.0,,
Commuting,Never owned,Tork Kratos,1.0,1.0,,1.0,,
Commuting,> 6 months,Tork Kratos,1.0,1.0,,1.0,,
Leisure,Never owned,Tork Kratos,1.0,1.0,,1.0,,
Commuting,Never owned,Tork Kratos,5.0,5.0,,5.0,,
Commuting,Never owned,Tork Kratos,5.0,4.0,,3.0,,
Commuting,Never owned,Tork Kratos,4.0,4.0,,5.0,,
Commuting,Never owned,Tork Kratos,3.0,3.0,,3.0,,
Leisure,Never owned,Tork Kratos,5.0,4.0,,4.0,,
Leisure,<= 6 months,Tork Kratos,5.0,5.0,,4.0,,
Leisure,> 6 months,Tork Kratos,4.0,4.0,,3.0,,
Leisure,> 6 months,Tork Kratos,5.0,4.0,,5.0,,
Commuting,Never owned,Tork Kratos,4.0,4.0,,4.0,,
Commuting,Never owned,Tork Kratos,5.0,5.0,,4.0,,
Commuting,Never owned,Tork Kratos,5.0,4.0,,3.0,,
Commuting,<= 6 months,Tork Kratos,5.0,5.0,,5.0,,
Leisure,Never owned,Tork Kratos,5.0,5.0,,5.0,,
Commuting,> 6 months,Tork Kratos,4.0,4.0,,5.0,,
Commuting,Never owned,Tork Kratos,4.0,3.0,,4.0,,
Commuting,Never owned,Tork Kratos,5.0,4.0,,5.0,,
Commuting,Never owned,Tork Kratos,4.0,4.0,,4.0,,
Leisure,Never owned,Tork Kratos,5.0,4.0,,4.0,,
Commuting,Never owned,Tork Kratos,4.0,4.0,,5.0,,
Leisure,Never owned,Tork Kratos,5.0,4.0,,4.0,,
Commuting,<= 6 months,OLA S1,3.0,1.0,1.0,,,
Commuting,<= 6 months,OLA S1,4.0,2.0,,,,
Leisure,Never owned,OLA S1,1.0,1.0,1.0,,1.0,
Commuting,Never owned,OLA S1,5.0,5.0,5.0,,4.0,
Leisure,<= 6 months,OLA S1,4.0,5.0,5.0,,,
Commuting,Never owned,OLA S1,2.0,1.0,3.0,,2.0,
Leisure,Never owned,OLA S1,5.0,5.0,5.0,,5.0,
Commuting,Never owned,OLA S1,5.0,5.0,5.0,,5.0,
Commuting,Never owned,OLA S1,4.0,4.0,,3.0,,3.0
Commuting,Never owned,OLA S1,4.0,4.0,5.0,,4.0,
Commuting,Never owned,OLA S1,5.0,5.0,,5.0,,5.0
Commuting,Never owned,OLA S1,5.0,4.0,4.0,,4.0,
Commuting,Never owned,OLA S1,4.0,4.0,5.0,,4.0,
Leisure,<= 6 months,OLA S1,3.0,1.0,2.0,,2.0,
Commuting,<= 6 months,OLA S1,5.0,1.0,1.0,,4.0,
